8 - diamante,palmeiras - barra funda,8 - diamante,júlio prestes,"3,50"
9 - esmeralda,mendes - vila natal,9 - esmeralda,santo amaro,"25,00"
9 - esmeralda,santo amaro,9 - esmeralda,joão dias,"3,15"
9 - esmeralda,joão dias,9 - esmeralda,granja julieta,"3,15"
9 - esmeralda,granja julieta,9 - esmeralda,morumbi,"3,15"
9 - esmeralda,morumbi,9 - esmeralda,berrini,"3,15"
9 - esmeralda,berrini,9 - esmeralda,vila olímpia,"3,15"
9 - esmeralda,vila olímpia,9 - esmeralda,cidade jardim,"3,15"
9 - esmeralda,cidade jardim,9 - esmeralda,hebraica - rebouças,"3,15"
9 - esmeralda,hebraica - rebouças,9 - esmeralda,pinheiros,"3,15"
9 - esmeralda,pinheiros,9 - esmeralda,cidade universitária,"3,53"
9 - esmeralda,cidade universitária,9 - esmeralda,villa - lobos - jaguaré,"2,93"
9 - esmeralda,villa - lobos - jaguaré,9 - esmeralda,ceasa,"1,85"
9 - esmeralda,ceasa,9 - esmeralda,pres. altino,"3,15"
9 - esmeralda,pres. altino,9 - esmeralda,osasco,"2,95"
10 - turquesa,rio grande da serra,10 - turquesa,tamanduateí,"42,00"
10 - turquesa,tamanduateí,10 - turquesa,ipiranga,"2,50"
10 - turquesa,ipiranga,10 - turquesa,juventus - mooca,"2,50"
10 - turquesa,juventus - mooca,10 - turquesa,brás,"2,50"
10 - turquesa,brás,10 - turquesa,luz,"4,50"
10 - turquesa,brás,12 - safira,brás,"4,50"
11 - coral,estudantes,11 - coral,calmon viana,"25,00"
11 - coral,calmon viana,11 - coral,poá,"2,50"
11 - coral,calmon viana,12 - safira,calmon viana,"4,50"
11 - coral,poá,11 - coral,ferraz de vasconcelos,"2,50"
11 - coral,ferraz de vasconcelos,11 - coral,antonio gianetti neto,"2,50"
11 - coral,antonio gianetti neto,11 - coral,guaianases,"2,50"
11 - coral,guaianases,11 - coral,josé bonifácio,"2,50"
11 - coral,josé bonifácio,11 - coral,dom bosco,"2,50"
11 - coral,dom bosco,11 - coral,corinthians - itaquera,"2,50"
12 - safira,calmon viana,12 - safira,aracaré,"2,50"
12 - safira,aracaré,12 - safira,itaquaquecetuba,"2,50"
12 - safira,itaquaquecetuba,12 - safira,eng. manoel feio,"2,50"
12 - safira,eng. manoel feio,12 - safira,jardim romano,"2,50"
